production_type,name,installed_capacity,unit_type
HYDRO_WATER_RESERVOIR,VOUGLANS,285,PRODUCTION_UNIT

MARINE,RANCE,240,PRODUCTION_UNIT

NUCLEAR,BELLEVILLE 1,1310,GENERATING_UNIT

NUCLEAR,BELLEVILLE 2,1310,GENERATING_UNIT

NUCLEAR,BLAYAIS 1,910,GENERATING_UNIT

NUCLEAR,BLAYAIS 2,910,GENERATING_UNIT

NUCLEAR,BLAYAIS 3,910,GENERATING_UNIT

NUCLEAR,BLAYAIS 4,910,GENERATING_UNIT

NUCLEAR,BUGEY 2,910,GENERATING_UNIT

NUCLEAR,BUGEY 3,910,GENERATING_UNIT

NUCLEAR,BUGEY 4,880,GENERATING_UNIT

NUCLEAR,BUGEY 5,880,GENERATING_UNIT

NUCLEAR,CATTENOM 1,1300,GENERATING_UNIT

NUCLEAR,CATTENOM 2,1300,GENERATING_UNIT

NUCLEAR,CATTENOM 3,1300,GENERATING_UNIT

NUCLEAR,CATTENOM 4,1300,GENERATING_UNIT

NUCLEAR,CHINON 1,905,GENERATING_UNIT

NUCLEAR,CHINON 2,905,GENERATING_UNIT

NUCLEAR,CHINON 3,905,GENERATING_UNIT

NUCLEAR,CHINON 4,905,GENERATING_UNIT

NUCLEAR,CHOOZ 1,1500,GENERATING_UNIT

NUCLEAR,CHOOZ 2,1500,GENERATING_UNIT

NUCLEAR,CIVAUX 1,1495,GENERATING_UNIT

NUCLEAR,CIVAUX 2,1495,GENERATING_UNIT

NUCLEAR,CRUAS 1,915,GENERATING_UNIT

NUCLEAR,CRUAS 2,915,GENERATING_UNIT

NUCLEAR,CRUAS 3,915,GENERATING_UNIT

NUCLEAR,CRUAS 4,915,GENERATING_UNIT

NUCLEAR,DAMPIERRE 1,890,GENERATING_UNIT

NUCLEAR,DAMPIERRE 2,890,GENERATING_UNIT

NUCLEAR,DAMPIERRE 3,890,GENERATING_UNIT

NUCLEAR,DAMPIERRE 4,890,GENERATING_UNIT

NUCLEAR,FESSENHEIM 1,880,GENERATING_UNIT

NUCLEAR,FESSENHEIM 2,880,GENERATING_UNIT

NUCLEAR,FLAMANVILLE 1,1330,GENERATING_UNIT

NUCLEAR,FLAMANVILLE 2,1330,GENERATING_UNIT

NUCLEAR,GOLFECH 1,1310,GENERATING_UNIT

NUCLEAR,GOLFECH 2,1310,GENERATING_UNIT

NUCLEAR,GRAVELINES 1,910,GENERATING_UNIT

NUCLEAR,GRAVELINES 2,910,GENERATING_UNIT

NUCLEAR,GRAVELINES 3,910,GENERATING_UNIT

NUCLEAR,GRAVELINES 4,910,GENERATING_UNIT

NUCLEAR,GRAVELINES 5,910,GENERATING_UNIT

NUCLEAR,GRAVELINES 6,910,GENERATING_UNIT

NUCLEAR,NOGENT 1,1310,GENERATING_UNIT

NUCLEAR,NOGENT 2,1310,GENERATING_UNIT

NUCLEAR,PALUEL 1,1330,GENERATING_UNIT

NUCLEAR,PALUEL 2,1330,GENERATING_UNIT

NUCLEAR,PALUEL 3,1330,GENERATING_UNIT

NUCLEAR,PALUEL 4,1330,GENERATING_UNIT

NUCLEAR,PENLY 1,1330,GENERATING_UNIT

NUCLEAR,PENLY 2,1330,GENERATING_UNIT

NUCLEAR,ST ALBAN 1,1335,GENERATING_UNIT

NUCLEAR,ST ALBAN 2,1335,GENERATING_UNIT

NUCLEAR,ST LAURENT 1,915,GENERATING_UNIT

NUCLEAR,ST LAURENT 2,915,GENERATING_UNIT

NUCLEAR,TRICASTIN 1,915,GENERATING_UNIT

NUCLEAR,TRICASTIN 2,915,GENERATING_UNIT

NUCLEAR,TRICASTIN 3,915,GENERATING_UNIT

NUCLEAR,TRICASTIN 4,915,GENERATING_UNIT

OTHER,CYCOFOS PL2,62,GENERATING_UNIT

WIND_OFFSHORE,Banc de Gu�rande,480,PRODUCTION_UNIT

